cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
92-52-4,BIPHENYL,['178.201'],"['BIPHENYL', 'DIPHENYL', 'PHENYLBENZENE', '1', ""1'-BIPHENYL"", '1', ""1'-DIPHENYL"", 'BIBENZENE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3129,4.0,,,1332
68917-50-0,"BIRCH, SWEET, OIL (BETULA LENTA L.)",[],"['SWEET BIRCH OIL', 'BIRCH OIL', ' SWEET', 'OILS', ' SWEET BIRCH', 'BETULA LENTA OIL', 'BLACK BIRCH OIL', 'BIRCH', ' SWEET', ' OIL']",['FLAVORING AGENT OR ADJUVANT'],2154,3.0,,,
8001-88-5,"BIRCH TAR, OIL (BETULA PENDULA ROTH AND RELATED BETULA SPP.)",['172.515'],"['BIRCH TAR OIL', 'BIRCH TAR OIL', ' RECTIFIED', 'BETULA PENDULA OIL', 'OILS', ' BIRCH-TAR']",['FLAVORING AGENT OR ADJUVANT'],,,,,
495-62-5,BISABOLENE,[],"['BISABOLENE', 'BISABOLENE', ' GAMMA-', 'CYCLOHEXENE', ' 4-(1', '5-DIMETHYL-4-HEXENYLIDENE)-1-METHYL-', '4-(1', '5-DIMETHYL-4-HEXENYLIDENE)-1-METHYLCYCLOHEXENE', '2-HEPTENE', ' 2-METHYL-6-(4-METHYL-3-CYCLOHEXEN-1-YLIDENE)-', '2-METHYL-6-(4-METHYL-3-CYCLOHEXEN-1-YLIDENE)-2-HEPTENE', '1-METHYL-4-(1', '5-DIMETHYL-4-HEXENYLIDENE)-1-CYCLOHEXENE']","['ANTIMICROBIAL AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3331,6.0,25.0,,1336
28588-73-0,"BIS(2,5-DIMETHYL-3-FURYL) DISULFIDE",[],"['BIS(2', '5-DIMETHYL-3-FURYL) DISULFIDE', 'FURAN', ' 3', ""3'-DITHIOBIS(2"", '5-DIMETHYL-', '3', ""3'-DITHIOBIS(2"", '5-DIMETHYLFURAN)']",['FLAVORING AGENT OR ADJUVANT'],3476,9.0,,,1067
53897-60-2,BIS(1-MERCAPTOPROPYL)SULFIDE,[],"['BIS(1-MERCAPTOPROPYL) SULFIDE', '1-propanethiol', ' 1', ""1'-thiobis-"", '1', ""1'-thiobis-1-propanethiol"", 'InChI=1/C6H14S3/c1-3-5(7)9-6(8)4-2/h5-8H', '3-4H2', '1-2H3', 'InChIKey: MPDULAQZHPFPOG-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4297,23.0,,,1709
1618-26-4,BIS-(METHYLTHIO)METHANE,[],"['BIS(METHYLTHIO)METHANE', 'BIS(METHYLMERCAPTO)METHANE', 'FORMALDEHYDE DIMETHYL DITHIOACETAL', 'FORMALDEHYDE DIMETHYL MERCAPTAL', 'METHANE', ' BIS(METHYLTHIO)-', 'METHYLENE BIS(METHYL SULFIDE)', 'THIOFORMALDEHYDE DIMETHYL ACETAL', '2', '4-DITHIAPENTANE']",['FLAVORING AGENT OR ADJUVANT'],3878,18.0,,,533
28588-75-2,BIS(2-METHYL-3-FURYL) DISULFIDE,[],"['BIS(2-METHYL-3-FURYL) DISULFIDE', 'FURAN', ' 3', ""3'-DITHIOBIS(2-METHYL-"", '2-METHYL-3-FURYL DISULFIDE', '3', ""3'-DITHIO-2"", ""2'-DIMETHYLDIFURAN"", '3', ""3'-DITHIOBIS(2-METHYLFURAN)""]","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3259,5.0,,,1066
4032-80-8,BIS(2-METHYLPHENYL) DISULFIDE,[],"['O-TOLYL DISULFIDE', 'bis(2-methylphenyl) disulfide', 'di-o-tolyl disulfide', 'disulfide', ' bis(2-methylphenyl)']",['FLAVORING AGENT OR ADJUVANT'],4576,24.0,,,1931
28588-76-3,BIS(2-METHYL-3-FURYL) TETRASULFIDE,[],"['BIS(2-METHYL-3-FURYL) TETRASULFIDE', 'FURAN', ' 3', ""3'-TETRATHIOBIS(2-METHYL-"", '2-METHYL-3-FURYL TETRASULFIDE', '3', ""3'-TETRATHIOBIS(2-METHYLFURAN)""]",['FLAVORING AGENT OR ADJUVANT'],3260,5.0,,,1068
977047-53-2,"BLACKBERRY BARK, EXTRACT (RUBUS, SPP. OF SECTION EUBATUS)",['172.51'],['BLACKBERRY BARK EXTRACT'],"['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2155,3.0,,,
84787-69-9,BLACKBERRY FRUIT EXTRACT,[],"['BLACKBERRY EXTRACT', 'BLACKBERRY FRUIT EXTRACT', 'RUBUS FRUTICOSUS', ' EXT.']",['FLAVORING AGENT OR ADJUVANT'],,,,,
8015-77-8,"BOIS DE ROSE, OIL (ANIBA ROSAEODORA DUCKE)",['182.2'],"['BOIS DE ROSE OIL', 'ANIBA ROSAEODORA OIL', 'OILS', ' BOIS DE ROSE']",['FLAVORING AGENT OR ADJUVANT'],2156,3.0,,,
977052-75-7,BOLDUS LEAVES (PEUMUS BOLDUS MOL.),['172.51'],"['BOLDO', 'BOLDUS', 'BOLDUS LEAF', 'BOLDO LEAF', 'PEUMUS BOLDUS']",,,,,,
977138-71-8,"BONITO, DRIED",[],"['BONITO', ' DRIED']",,,,,,
10043-35-3,BORIC ACID,"['175.105', '176.18', '178.201', '181.3']","['BORIC ACID', 'BORACIC ACID', 'BORIC ACID (H3BO3)', 'BORON TRIHYDROXIDE', 'TRIHYDROXYBORANE', 'ORTHOBORIC ACID']",['LUBRICANT OR RELEASE AGENT'],,,,,
507-70-0,BORNEOL,['172.515'],"['BORNEOL', 'BAROS', 'BORNEOCAMPHOR', 'BORNYL ALCOHOL', 'CAMPHOL', '2-BORNANOL', ' ENDO-', '2-CAMPHANOL', ' ENDO-', '2-HYDROXYCAMPHANE', ' ENDO-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-OL', '2-BORNANOL', '2-CAMPHANOL', '2-HYDROXYBORNANE', '2-HYDROXYCAMPHANE', 'BICYCLO(2.2.1)HEPTAN-2-OL', ' 1', '7', '7-TRIMETHYL-', ' (1R', '2S', '4R)-REL-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-OL', ' ENDO-', '2-HYDROXY-1', '7', '7-TRIMETHYLNORBORNANE', ' ENDO-', '2-ENDO-BORNYL ALCOHOL', 'BORNEOL', ' (+-)-', 'BORNEOL', ' DL-♦']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2157,3.0,,,1385
76-49-3,BORNYL ACETATE,['172.515'],"['BORNYL ACETATE', 'BORNEOL', ' ACETATE', 'BORNYL ETHANOATE', '2-CAMPHANYL ACETATE', 'BICYCLO(2.2.1)HEPTAN-2-OL', ' 1', '7', '7-TRIMETHYL-', ' ACETATE', ' ENDO-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-YL ACETATE', ' ENDO-', '2-ENDO-BORNYL ACETATE', 'BORNYL ACETATE', ' ENDO-']",['FLAVORING AGENT OR ADJUVANT'],2159,3.0,,,1387
5655-61-8,L-BORNYL ACETATE,[],"['BORNYL ACETATE', ' L-', 'BORNEOL', ' ACETATE', ' (1S', '2R', '4S)-(-)-', 'BICYCLO(2.2.1)HEPTAN-2-OL', ' 1', '7', '7-TRIMETHYL-', ' ACETATE', ' (1S-ENDO)-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-YL ACETATE', ' (1S-ENDO)-', 'bicyclo(2.2.1)heptan-2-ol', ' 1', '7', '7-trimethyl-', ' acetate', ' (1S', '2R', '4S)-', 'bornyl acetate', ' (-)-']",['FLAVORING AGENT OR ADJUVANT'],4080,22.0,,,1864
13109-70-1,BORNYL BUTYRATE,[],"['BORNYL BUTYRATE', 'BORNEOL', ' BUTYRATE', 'BUTYRIC ACID', ' 2-BORNYL ESTER', 'BUTANOIC ACID', ' (1R', '2S', '4R)-1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL ESTER', ' REL-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL BUTANOATE', ' ENDO-', 'BORNYL BUTANOATE']",['FLAVORING AGENT OR ADJUVANT'],3907,19.0,,,1412
7492-41-3,BORNYL FORMATE,['172.515'],"['BORNYL FORMATE', '2-BORNANYL FORMATE', ' ENDO-', 'BORNEOL', ' FORMATE', 'BORNYL METHANOATE', '2-CAMPHANYL FORMATE', 'BICYCLO(2.2.1)HEPTAN-2-OL', ' 1', '7', '7-TRIMETHYL-', ' FORMATE', ' ENDO-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPTAN-2-YL FORMATE', ' ENDO-']",['FLAVORING AGENT OR ADJUVANT'],2161,3.0,,,1389
76-50-6,BORNYL ISOVALERATE,['172.515'],"['BORNYL ISOVALERATE', '2-BORNYL ISOVALERATE', 'BORNYL ISOPENTANOATE', 'BORNYL ISOVALERIANATE', 'BORNYL 3-METHYLBUTANOATE', 'BORNYVAL', 'ISOVALERIC ACID', ' 2-BORNYL ESTER', 'BUTANOIC ACID', ' 3-METHYL-', ' 1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL ESTER', ' ENDO-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL 3-METHYLBUTANOATE', ' ENDO-']",['FLAVORING AGENT OR ADJUVANT'],2165,3.0,,,1393
7549-41-9,BORNYL VALERATE,['172.515'],"['BORNYL VALERATE', '2-BORNYL VALERATE', 'BORNYL PENTANOATE', 'BORNYL VALERIANATE', '2-BORNYL VALERATE', ' ENDO-', '2-CAMPHANYL VALERATE', ' ENDO-', 'VALERIC ACID', ' 2-BORNYL ESTER', ' ENDO-', 'PENTANOIC ACID', ' 1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL ESTER', ' ENDO-', '1', '7', '7-TRIMETHYLBICYCLO(2.2.1)HEPT-2-YL PENTANOATE', ' ENDO-']",['FLAVORING AGENT OR ADJUVANT'],2164,3.0,,,1392
8053-33-6,"BORONIA, ABSOLUTE (BORONIA MEGASTIGMA NEES)",['172.51'],"['BORONIA FLOWER OIL', 'BORONIA ABSOLUTE', 'BORONIA MEGASTIGMA OIL', 'OILS', ' BORONIA']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2167,3.0,,,
977090-81-5,"BOUILLON, VEGETABLE, SMOKE",[],"['BOUILLON', ' VEGETABLE', ' SMOKE']",,,,,,
5208-59-3,BETA-BOURBONENE,['172.515'],"['BETA-BOURBONENE', 'DECAHYDROISOPROPYLMETHYLMETHYLENECYCLOBUTA(1', '2:3', '4)DICYCLOPENTENE', 'BOURBONENE', ' (-)-BETA-', 'CYCLOBUTA(1', '2:3', '4)DICYCLOPENTENE', ' DECAHYDRO-3A-METHYL-6-METHYLENE-1-(1-METHYLETHYL)-', ' (1S-(1ALPHA', '3AALPHA', '3BBETA', '6ABETA', '6BALPHA))-', 'DECAHYDRO-3A-METHYL-6-METHYLENE-1-(1-METHYLETHYL)CYCLOBUTA(1', '2:3', '4)DICYCLOPENTENE', ' (1S-(1ALPHA', '3AALPHA', '3BBETA', '6ABETA', '6BALPHA))-', 'CYCLOBUTA(1', '2:3', '4)DICYCLOPENTENE', ' 1', '2', '3', '3A', '3BBETA', '4', '5', '6', '6ABETA', '6BALPHA-DECAHYDRO-1ALPHA-ISOPROPYL-3AALPHA-METHYL-6-METHYLENE-', '1', '2', '3', '3A', '3BBETA', '4', '5', '6', '6ABETA', '6BALPHA-DECAHYDRO-1ALPHA-ISOPROPYL-3AALPHA-METHYL-6-METHYLENECYCLOBUTA(1', '2:3', '4)DICYCLOPENTENE']",['FLAVORING AGENT OR ADJUVANT'],,,,,
9001-00-7,BROMELAIN,['184.1024'],"['BROMELAIN', 'BROMELIN', 'EXTRANASE', 'PINEAPPLE PROTEASE', 'PINEAPPLE PROTEASE AND MILK CLOTTING ENZYME', 'TRAUMANASE', 'BROMELAIN', ' JUICE', 'BROMELAIN JUICE']","['ENZYME', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'PROCESSING AID', 'TEXTURIZER']",,,,,
8016-94-2,BROMINATED VEGETABLE OIL,[],,,,,,,
977000-49-9,BRYONIA ROOT (BRYONIA SPP.),['172.51'],['BRYONIA ROOT'],['FLAVORING AGENT OR ADJUVANT'],,,,,
977000-50-2,BUCHU LEAVES (BAROSMA BETULINA AND CRENULATA),['172.51'],"['BUCHU', 'BAROSMA LEAF', 'BUCHU LEAF']",['FLAVORING AGENT OR ADJUVANT'],,,,,
977009-82-7,BUCHU LEAVES EXTRACT,['172.51'],"['BUCHU EXTRACT', 'BUCHU LEAF EXTRACT']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",,,,,
68650-46-4,"BUCHU LEAVES, OIL (BAROSMA SPP.)",['172.51'],"['BUCHU OIL', 'BUCHU LEAF OIL', 'OILS', ' BUCHU']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2169,3.0,,,
977038-51-9,BUCKBEAN LEAVES (MENYANTHES TRIFOLIATA L.),['172.51'],"['BUCKBEAN LEAF', 'MENYANTHES TRIFOLIATA LEAF']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",,,,,
977038-52-0,"BUCKBEAN LEAVES, EXTRACT (MENYANTHES TRIFOLIATA L.)",['172.51'],"['BUCKBEAN LEAF EXTRACT', 'MENYANTHES TRIFOLIATA LEAF EXTRACT']",['FLAVORING AGENT OR ADJUVANT'],,,,,
9003-55-8,BUTADIENE-STYRENE RUBBER,"['172.615', '175.105', '175.125', '175.3', '176.17', '176.18', '177.101', '177.12', '177.26', '177.28', '178.1005', '178.379', '181.3']","['POLY(BUTADIENE-CO-STYRENE)', 'BUTADIENE-STYRENE COPOLYMER', 'BUTADIENE-STYRENE RUBBER', 'BENZENE', ' ETHENYL-', ' POLYMER WITH 1', '3-BUTADIENE', 'BUTADIENE-STYROL COPOLYMER', 'POLYSTYRENE-POLYBUTADIENE', 'POLY(1', '3-BUTADIENE-CO-ETHENYLBENZENE)', 'POLY(1', '3-BUTADIENE-CO-STYRENE)', 'STYRENE POLYMER WITH 1', '3-BUTADIENE', 'STYRENE-BUTADIENE COPOLYMER', 'STYRENE', ' POLYMER WITH 1', '3-BUTADIENE', 'RUBBER', ' BUTADIENE-STYRENE', '1', '3-BUTADIENE-ETHENYLBENZENE COPOLYMER', '1', '3-BUTADIENE', ' POLYMER WITH STYRENE', '1', '3-BUTADIENE-STYRENE COPOLYMER', 'InChI=1S/C8H8.C4H6/c1-2-8-6-4-3-5-7-8', '1-3-4-2/h2-7H', '1H2', '3-4H', '1-2H2']",['MASTICATORY SUBSTANCE'],,,,,
42919-64-2,4-(METHYLTHIO)BUTANAL,[],"['4-(METHYLTHIO)BUTANAL', 'BUTANAL', ' 4-(METHYLTHIO)-', 'GAMMA-(METHYLTHIO)BUTYRALDEHYDE', 'GAMMA-(METHYLMERCAPTO)BUTYRALDEHYDE', '4-(METHYLTHIO)BUTYRALDEHYDE']",['FLAVORING AGENT OR ADJUVANT'],3414,7.0,,,468
101780-73-8,BUTANAL DIBENZYL THIOACETAL,[],"['1', '1-BIS(BENZYLTHIO)BUTANE', 'butyraldehyde', ' dibenzyl mercaptal', 'dibenzyl mercaptal butyraldehyde', 'butanal dibenzyl thioacetal']",['FLAVORING AGENT OR ADJUVANT'],4589,24.0,,,1939
106-97-8,N-BUTANE,"['173.35', '184.1165']","['BUTANE', 'LIQUEFIED PETROLEUM GAS']",['PROPELLANT'],,,,,
16128-68-0,"1,2-BUTANEDITHIOL",[],"['1', '2-BUTANEDITHIOL', '1', '2-DIMERCAPTOBUTANE', '1', '2-DITHIOLBUTANE', '1-ETHYL-1', '2-ETHANEDITHIOL']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3528,11.0,,,537
24330-52-7,"1,3-BUTANEDITHIOL",[],"['1', '3-BUTANEDITHIOL', '1', '3-DIMERCAPTOBUTANE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3529,11.0,,,538
4532-64-3,"2,3-BUTANEDITHIOL",[],"['2', '3-BUTANEDITHIOL', '2', '3-DIMERCAPTOBUTANE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3477,10.0,,,539
109-79-5,1-BUTANETHIOL,[],"['1-BUTANETHIOL', 'BUTYL MERCAPTAN', 'BUTANETHIOL', 'BUTYLTHIOL', 'THIOBUTYL ALCOHOL', '1-MERCAPTOBUTANE', 'InChI=1S/C4H10S/c1-2-3-4-5/h5H', '2-4H2', '1H3', 'InChIKey:WQAQPCDUOCURKW-UHFFFAOYSA-N']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3478,10.0,,,511
78-92-2,2-BUTANOL,"['172.515', '176.18']","['BUTYL ALCOHOL', ' SEC-', '2-BUTANOL', '1-METHYL-1-PROPANOL', '1-METHYLPROPYL ALCOHOL', '2-HYDROXYBUTANE', 'ETHYLMETHYL CARBINOL', 'METHYLETHYL CARBINOL']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",,,,,
78-93-3,2-BUTANONE,"['172.515', '172.859', '175.105', '175.32', '177.12']","['2-BUTANONE', 'METHYL ETHYL KETONE', 'METHYLETHYL KETONE', 'BUTANONE', '3-BUTANONE', 'ETHYL METHYL KETONE']",['FLAVORING AGENT OR ADJUVANT'],2170,3.0,,,278
84642-61-5,BUTAN-3-ONE-2-YL BUTANOATE,[],"['BUTAN-3-ONE-2-YL BUTANOATE', 'ACETOYL BUTYRATE', 'BUTANOIC ACID', ' 1-METHYL-2-OXOPROPYL ESTER', '1-METHYL-2-OXOPROPYL BUTANOATE']",['FLAVORING AGENT OR ADJUVANT'],3332,6.0,,,407
3724-65-0,(E)-2-BUTENOIC ACID,"['175.105', '175.35', '176.17', '176.18']","['CROTONIC ACID', '2-BUTENOIC ACID', 'ALPHA-BUTENOIC ACID', '3-METHACRYLIC ACID']",['FLAVORING AGENT OR ADJUVANT'],3908,19.0,,,1371
13215-88-8,"4-(2-BUTENYLIDENE)-3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE",[],"['MEGASTIGMATRIENONE', '2-cyclohexen-1-one', ' 4-(2-butenylidene)-3', '5', '5-trimethyl-', ' 4-(2-butenylidene)-3', '5', '5-trimethyl-2-cyclohexen-1-one', '2-cyclohexen-1-one', ' 4-(2-buten-1-ylidene)-3', '5', '5-trimethyl-', '4-(2-buten-1-ylidene)-3', '5', '5-trimethyl-2-cyclohexen-1-one', 'InChI=1S/C13H18O/c1-5-6-7-12-10(2)8-11(14)9-13(12', '3)4/h5-8H', '9H2', '1-4H3/b6-5+', '12-7+', 'InChIKey: CBQXHTWJSZXYSK-DVIJZSFDSA-N']",['FLAVORING AGENT OR ADJUVANT'],4663,24.0,,,2057
3386-97-8,3-BUTENYL ISOTHIOCYANATE,[],"['3-BUTENYL ISOTHIOCYANATE', 'ALLYLCARBINYL ISOTHIOCYANATE', '1-butene', ' 4-isothiocyanato-', '4-isothiocyanato-1-butene', 'isothiocyanic acid', ' 3-butenyl ester', 'InChI=1S/C5H7NS/c1-2-3-4-6-5-7/h2H', '1', '3-4H2', 'InChIKey: SKIHGKNFJKJXPX-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4418,23.0,,,1889
32951-19-2,1-BUTEN-1-YL METHYL SULFIDE,[],"['1-BUTENYL METHYL SULFIDE', 'SULFIDE', ' 1-BUTENYL METHYL', '1-BUTEN-1-YL METHYL SULFIDE', '1-BUTENE', ' 1-(METHYLTHIO)-', '1-(METHYLTHIO)-1-BUTENE']",['FLAVORING AGENT OR ADJUVANT'],3820,18.0,,,457
85536-25-0,BUTTER ACIDS,['172.515'],"['BUTTER FATTY ACIDS', 'BUTTER ACID', 'FATTY ACIDS', ' BUTTER']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2171,3.0,,,
977019-26-3,BUTTER ESTERS,['172.515'],"['BUTTER ESTER', 'FATTY ACIDS', ' BUTTER', ' ESTERS', 'BUTTER FATTY ACIDS', ' ESTERS']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2172,3.0,,,
977093-25-6,"BUTTER FAT, ENZYME-MODIFIED, WITH ADDED BUTYRIC ACID",[],"['MILK FAT', ' ENZYME-MODIFIED', ' BUTYRIC ACID ADDED', 'BUTTER FAT', ' ENZYME-MODIFIED', ' WITH ADDED BUTYRIC ACID', 'BUTTERFAT', ' ENZYME-MODIFIED', ' BUTYRIC ACID ADDED']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'TEXTURIZER']",,,,,
977019-27-4,BUTTER STARTER DISTILLATE,['184.1848'],"['STARTER DISTILLATE', 'BUTTER STARTER DISTILLATE']","['FLAVORING AGENT OR ADJUVANT', 'MALTING OR FERMENTING AID']",2173,3.0,,,
123-86-4,BUTYL ACETATE,"['172.515', '175.105', '175.32', '177.12']","['BUTYL ACETATE', 'BUTYL ETHANOATE', 'ACETIC ACID', ' BUTYL ESTER', '1-acetoxybutane', '1-butyl acetate']",['FLAVORING AGENT OR ADJUVANT'],2174,3.0,,,127
591-60-6,BUTYL ACETOACETATE,['172.515'],"['BUTYL ACETOACETATE', 'BUTYL 3-KETOBUTANOATE', 'BUTYL 3-KETOBUTYRATE', 'BUTYL 3-OXOBUTANOATE', 'BUTANOIC ACID', ' 3-OXO-', ' BUTYL ESTER', 'ACETOACETIC ACID', ' BUTYL ESTER', 'BUTYL 3-OXOBUTYRATE']",['FLAVORING AGENT OR ADJUVANT'],2176,3.0,,,596
71-36-3,BUTYL ALCOHOL,"['73.1', '172.515', '172.56', '175.105', '175.32', '176.18', '176.2', '176.21', '177.12', '177.144', '177.165', '177.28']","['BUTYL ALCOHOL', '1-BUTANOL', 'BUTANOL', ' NORMAL', 'PROPYLCARBINOL', '1-BUTYL ALCOHOL', 'BUTYL HYDROXIDE', 'METHYLOLPROPANE']","['FLAVORING AGENT OR ADJUVANT', 'SOLVENT OR VEHICLE']",2178,3.0,25.0,,85
109-73-9,BUTYLAMINE,[],"['BUTYLAMINE', '1-AMINOBUTANE', '1-BUTANAMINE', 'N-BUTYLAMINE', '1-BUTYLAMINE', 'MONO-N-BUTYLAMINE', 'MONOBUTYLAMINE']",['FLAVORING AGENT OR ADJUVANT'],3130,4.0,,,1582
13952-84-6,SEC-BUTYLAMINE,[],"['2-BUTANAMINE', '2-AMINOBUTANE', 'BUTYLAMINE', ' SECONDARY', '1-METHYLPROPANAMINE', '1-METHYLPROPYLAMINE', '2-AB', 'BUTYLAMINE', ' SEC-', '2-BUTYLAMINE', 'SEC-BUTYLAMINE']",['FLAVORING AGENT OR ADJUVANT'],4240,22.0,,,1584
7756-96-9,BUTYL ANTHRANILATE,['172.515'],"['BUTYL ANTHRANILATE', 'BUTYL O-AMINOBENZOATE', 'BUTYL 2-AMINOBENZOATE', 'BENZOIC ACID', ' 2-AMINO-', ' BUTYL ESTER', 'ANTHRANILIC ACID', ' BUTYL ESTER']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2181,3.0,,,1536
25013-16-5,BUTYLATED HYDROXYANISOLE,"['172.11', '172.115', '172.185', '172.515', '172.615', '173.34', '175.105', '175.125', '175.3', '175.38', '175.39', '176.17', '176.21', '177.101', '177.135', '178.357', '166.11']","['BHA', 'BUTYLATED HYDROXYANISOLE', 'BUTYLMETHOXYPHENOL', 'BUTYL-4-METHOXYPHENOL', ' TERT-', 'BUTYLHYDROXYANISOLE', ' TERT-', 'BUTYL-4-HYDROXYANISOLE', ' TERT-', 'PHENOL', ' (1', '1-DIMETHYLETHYL)-4-METHOXY-', 'PHENOL', ' TERT-BUTYL-4-METHOXY-', '(1', '1-DIMETHYLETHYL)-4-METHOXYPHENOL', 'TERT-BUTYL-4-HYDROXYANISOLE', 'TERT-BUTYL-4-METHOXYPHENOL', 'TERT-BUTYLHYDROXYANISOLE']","['ANTIMICROBIAL AGENT', 'ANTIOXIDANT', 'DOUGH STRENGTHENER', 'FLAVOR ENHANCER', 'FLOUR TREATING AGENT', 'OXIDIZING OR REDUCING AGENT']",2183,3.0,,,
128-37-0,BUTYLATED HYDROXYTOLUENE,"['172.11', '172.115', '172.185', '172.615', '173.34', '175.105', '175.125', '175.3', '175.38', '175.39', '176.17', '176.21', '177.101', '177.121', '177.226', '177.26', ' 137.350 ,  166.110']","['BHT', 'BUTYLATED HYDROXYTOLUENE', '3', '5-DI-TERT-BUTYL-4-HYDROXYTOLUENE', 'DITERTIARY BUTYL PARACRESOL', '2', '6-DI-TERT-BUTYL-4-METHYLPHENOL', '2', '6-DI-TERT-BUTYL-P-CRESOL', 'DBPC', 'P-CRESOL', ' 2', '6-DI-TERT-BUTYL-', 'PHENOL', ' 2', '6-BIS(1', '1-DIMETHYLETHYL)-4-METHYL-', '2', '6-BIS(1', '1-DIMETHYLETHYL)-4-METHYLPHENOL']","['ANTIOXIDANT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2184,3.0,,,
25409-08-9,2-BUTYL-2-BUTENAL,[],"['2-BUTYL-2-BUTENAL', '2-ETHYLIDINEHEXANAL', 'HEXANAL', ' 2-ETHYLIDENE-']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",3392,7.0,,,1214
109-21-7,BUTYL BUTYRATE,['172.515'],"['BUTYL BUTYRATE', 'BUTYL BUTANOATE', 'BUTANOIC ACID', ' BUTYL ESTER', 'BUTYRIC ACID', ' BUTYL ESTER', '1-BUTYL BUTYRATE', 'BUTYL BUTYLATE']",['FLAVORING AGENT OR ADJUVANT'],2186,3.0,,,151
7492-70-8,BUTYL BUTYRYLLACTATE,['172.515'],"['BUTYL BUTYRYLLACTATE', 'BUTANOIC ACID', ' 2-BUTOXY-1-METHYL-2-OXOETHYL ESTER', '2-BUTOXY-1-METHYL-2-OXOETHYL BUTANOATE', 'BUTYRIC ACID', ' ESTER WITH BUTYL LACTATE']",['FLAVORING AGENT OR ADJUVANT'],2190,3.0,25.0,,935
7492-44-6,ALPHA-BUTYLCINNAMALDEHYDE,['172.515'],"['ALPHA-BUTYLCINNAMALDEHYDE', 'ALPHA-BUTYL-BETA-PHENYLACROLEIN', 'BUTYLCINNAMIC ALDEHYDE', 'ALPHA-BUTYLCINNAMIC ALDEHYDE', 'CINNAMALDEHYDE', ' ALPHA-BUTYL-', 'HEXANAL', ' 2-(PHENYLMETHYLENE)-', '2-BENZYLIDENEHEXANAL', '2-(PHENYLMETHYLENE)HEXANAL']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2191,3.0,,,684
538-65-8,BUTYL CINNAMATE,['172.515'],"['BUTYL CINNAMATE', 'BUTYL PHENYLACRYLATE', 'BUTYL 3-PHENYLPROPENOATE', 'BUTYL-BETA-PHENYLACRYLATE', 'ELIMINOXY', '2-PROPENOIC ACID', ' 3-PHENYL-', ' BUTYL ESTER', 'BUTYL 3-PHENYL-2-PROPENOATE', 'CINNAMIC ACID', ' BUTYL ESTER']",['FLAVORING AGENT OR ADJUVANT'],2192,3.0,,,663
7492-45-7,BUTYL 2-DECENOATE,['172.515'],"['BUTYL 2-DECENOATE', 'BUTYL DECYLENATE', '2-DECENOIC ACID', ' BUTYL ESTER']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2194,3.0,,,1348
