cas_rn,substance,regs,syns,used_for,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
6986-51-2,ACETALDEHYDE ETHYL ISOBUTYL ACETAL,[],"['ACETALDEHYDE ETHYL ISOBUTYL ACETAL', 'propane', ' 1-(1-ethoxyethoxy)-2-methyl-', '1-(1-ethoxyethoxy)-2-methylpropane', 'acetaldehyde', ' ethyl isobutyl acetal', 'ethane', ' 1-ethoxy-1-isobutoxy-', '1-ethoxy-1-isobutoxyethane', 'InChI=1S/C8H18O2/c1-5-9-8(4)10-6-7(2)3/h7-8H', '5-6H2', '1-4H3', 'InChIKey: YEKSEJHZJGHKBN-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],4528,24.0,,,
25334-93-4,(+/-)-ACETALDEHYDE ETHYL ISOPROPYL ACETAL,[],"['2-(1-ETHOXY)ETHOXYPROPANE', 'propane', ' 2-(1-ethoxyethoxy)-', '2-(1-ethoxyethoxy)propane', 'acetaldehyde', ' ethyl isopropyl acetal', 'ethyl isopropyl acetal acetaldehyde', 'ethane', ' 1-ethoxy-1-isopropoxy', '1-ethoxy-1-isopropoxyethane', 'acetaldehyde ethyl isopropyl acetal']",['FLAVORING AGENT OR ADJUVANT'],4432,24.0,,,
233665-90-2,ACETALDEHYDE HEXYL ISOAMYL ACETAL,[],"['ACETALDEHYDE HEXYL ISOAMYL ACETAL', 'hexane', ' 1-(1-(3-methylbutoxy)ethoxy)-', '1-(1-(3-methoxybutoxy)ethoxy)hexane']",['FLAVORING AGENT OR ADJUVANT'],4365,23.0,,,1727
202188-43-0,"ACETALDEHYDE 1,3-OCTANEDIOL ACETAL",[],"['ACETALDEHYDE 1', '3-OCTANEDIOL ACETAL', 'InChI=1S/C10H20O2/c1-3-4-5-6-10-7-8-11-9(2)12-10/h9-10H', '3-8H2', '1-2H3', 'InChIKey: NZTUUEJEMACERX-UHFFFAOYSA-N', '1', '3-dioxolane', ' 2-methyl-4-pentyl-', '2-methyl-4-pentyl-1', '3-dioxolane']",['FLAVORING AGENT OR ADJUVANT'],4376,23.0,,,1749
7493-57-4,ACETALDEHYDE PHENETHYL PROPYL ACETAL,['172.515'],"['ACETALDEHYDE PHENETHYL PROPYL ACETAL', 'ACETAL R', '(2-(1-PROPOXYETHOXY)ETHYL)BENZENE', 'BENZENE', ' (2-(1-PROPOXYETHOXY)ETHYL)-', 'ACETALDEHYDE', ' PHENETHYL PROPYL ACETAL', 'PEPITAL', 'PROPYL PHENETHYL ACETAL', 'PHENETHYL PROPYL ACETAL', '1-PHENETHOXY-1-PROPOXYETHANE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT']",2004,3.0,25.0,,1000
60-35-5,ACETAMIDE--NLFG,[],"['ACETAMIDE', 'ETHANAMIDE', 'InChI=1S/C2H5NO/c1-2(3)4/h1H3', '(H2', '3', '4)', 'InChIKey: DLFVBJFMPXGRIB-UHFFFAOYSA-N']",['FLAVORING AGENT OR ADJUVANT'],NLFG-4251,22.0,24.0," No longer FEMA GRAS (GRAS Pub. 24, 2009)",
100-06-1,ACETANISOLE,['172.515'],"['ACETANISOLE', ""4'-METHOXYACETOPHENONE"", 'METHOXYACETOPHENONE', ' P-', 'ACETYLANISOLE', ' P-', 'METHYL 4-METHOXYPHENYL KETONE', 'NOVATONE', '4-ACETYLANISOLE', 'ETHANONE', ' 1-(4-METHOXYPHENYL)-', '1-(4-METHOXYPHENYL)ETHANONE', 'ACETOPHENONE', "" 4'-METHOXY-"", 'ANISYL', ' P-', ' METHYL KETONE']",['FLAVORING AGENT OR ADJUVANT'],2005,3.0,25.0,,810
64-19-7,ACETIC ACID,"['73.85', '172.814', '173.37', '184.1005', ' 133.123 ,  133.124 ,  133.169 ,  133.173 ,  133.178 ,  133.179']","['ACETIC ACID', 'ETHANOIC ACID', 'ACETIC ACID', ' GLACIAL', 'GLACIAL ACETIC ACID']","['ANTIMICROBIAL AGENT', 'FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'PH CONTROL AGENT']",2006,3.0,25.0,,81
108-24-7,ACETIC ANHYDRIDE,['172.892'],"['ACETIC ANHYDRIDE', 'ACETIC ACID ANHYDRIDE', 'ACETIC OXIDE', 'ACETYL ACETATE', 'ACETYL ANHYDRIDE', 'ACETYL ETHER', 'ACETYL OXIDE', 'ETHANOIC ANHYDRIDE', 'ACETIC ACID', ' ANHYDRIDE']",['FLAVORING AGENT OR ADJUVANT'],,,,,
513-86-0,ACETOIN,['182.6'],"['ACETOIN', 'ACETYL METHYL CARBINOL', '3-HYDROXY-2-BUTANONE', 'ACETHOIN', 'DIMETHYLKETOL', 'GAMMA-HYDROXY-BETA-OXOBUTANE', '2', '3-BUTANOLONE', '2-BUTANONE', ' 3-HYDROXY-', '1-HYDROXETHYL METHYL KETONE', '3-hydroxybutan-2-one', ' (+-)-', 'acetoin', ' (+-)-', 'acetoin', ' dl-', 'acetylmethylmethanol']",['FLAVORING AGENT OR ADJUVANT'],2008,3.0,25.0,,405
94089-23-3,ACETOIN PROPYLENEGLYCOL KETAL,[],"['ACETOIN PROPYLENE GLYCOL ACETAL', '1', '3-dioxolane-2-methanol', ' alpha', '2', '4-trimethyl-', 'alpha', '2', '4-trimethyl-1', '3-dioxolane-2-methanol']",['FLAVORING AGENT OR ADJUVANT'],4532,24.0,,,2033
977164-02-5,ALPHA-ACETOLACTATE DECARBOXYLASE ENZYME PREPARATION FROM BACILLUS SUBTILIS RECOMBINANT,['173.115'],"['ACETOLACTATE DECARBOXYLASE', ' BACILLUS SUBTILIS', ' RECOMBINANT', 'ALPHA-ACETOLACTATE DECARBOXYLASE', ' BACILLUS SUBTILIS', ' RECOMBINANT', 'BACILLUS SUBTILIS ACETOLACTATE DECARBOXYLASE', ' RECOMBINANT']",['ENZYME'],,,,,
28060-90-4,ACETOLEIN,[],"['DIACETOOLEIN', 'GLYCERYL DIACETATE MONOOLEATE', 'GLYCERYL MONOOLEATE', ' DIACETYLATED', 'GLYCERYL DIACETATE OLEATE', 'OLEODIACETIN', '9-OCTADECENOIC ACID (Z)-', ' ESTER WITH 1', '2', '3-PROPANETRIOL DIACETATE', 'ACETIN', ' OLEODI-', 'OLEIN', ' DIACETO-', '1', '2', '3-PROPANETRIYL DIACETATE (Z)-9-OCTADECENOATE', 'DIACETYLMONOOLEIN', 'DIACETYLOLEOYLGLYCEROL']",,,,,,
67-64-1,ACETONE,"['73.1', '73.3', '73.345', '73.615', '173.21', '175.105', '175.32', '176.18', '176.3', '177.26']","['ACETONE', 'DIMETHYL KETONE', 'BETA-KETOPROPANE', 'PYROACETIC ETHER', '2-OXOPROPANE', '2-PROPANONE', 'METHYL KETONE', 'DIMETHYLFORMALDEHYDE']","['FLAVOR ENHANCER', 'FLAVORING AGENT OR ADJUVANT', 'SOLVENT OR VEHICLE', 'WASHING OR SURFACE REMOVAL AGENT']",3326,6.0,,,139
1336-17-0,ACETONE PEROXIDES,"['172.802', '137.105']","['ACETONE PEROXIDES', '2-PROPANONE', ' PEROXIDE', '2-PROPANONE PEROXIDE', 'ACETONE PEROXIDE', 'TRIACETONE PEROXIDE']",,,,,,
