cas_rn,substance,regs,syns
2432-99-7,11-AMINOUNDECANOIC ACID,177.15,"['AMINOUNDECANOIC ACID', 'UNDECANOIC ACID, 11-AMINO-']"
7664-41-7,AMMONIA,"175.105, 176.17, 176.21",['AMMONIA GAS']
977138-17-2,AMMONIA/ETHYLENE DICHLORIDE/SODIUM HYDROXIDE POLYETHYLENEAMINE MIXTURE,176.17,"['POLY(1,4-DIAZABUTANE)', 'POLYETHYLENEAMINE MIXTURE OF ETHYLENE DICHLORIDE, AMMONIA, SODIUM HYDROXIDE']"
10604-69-0,AMMONIUM ACRYLATE,,"['ACRYLIC ACID, AMMONIUM SALT', '2-propenoic acid, ammonium salt', 'ammonium 2-propenoate']"
1863-63-4,AMMONIUM BENZOATE,175.105,"['benzoic acid, ammonium salt']"
1341-49-7,AMMONIUM BIFLUORIDE,175.105,"['AMMONIUM FLUORIDE ((NH4)(HF2))', 'AMMONIUM FLUORIDE COMPD. WITH-HYDROGEN FLUORIDE (1:1)', 'AMMONIUM MONOHYDROGEN DIFLUORIDE', 'AMMONIUM ACID FLUORIDE', 'AMMONIUM HYDROGEN FLUORIDE']"
30381-98-7,AMMONIUM BIS(2-(N-ETHYL(PERFLUOROOCTANE)SULFONAMIDO)ETHYL) PHOSPHATE,176.17,['AMMONIUM BIS(N-ETHYL-2-PERFLUOROOCTYLSULFONAMIDOETHYL) PHOSPHATE']
12007-58-8,AMMONIUM BORATE,175.105,"['DIAMMONIUM BORATE', 'AMMONIUM BORON OXIDE ((NH4)2B4O7)', 'BORIC ACID (H2B4O7), DIAMMONIUM SALT', 'AMMONIUM TETRABORATE']"
12125-02-9,AMMONIUM CHLORIDE,"178.101, 184.1138","['AMMONIUM CHLORIDE ((NH4)CL)', 'SALMIAC', 'SAL AMMONIAC']"
3012-65-5,"AMMONIUM CITRATE, DIBASIC","175.105, 175.3, 175.38, 175.39, 177.135, 181.29, 184.114","['DIAMMONIUM 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE', 'CITRIC ACID, DIAMMONIUM SALT', '1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, DIAMMONIUM SALT', 'ammonium citrate ((NH4)2O7C6H6)', 'diammonium hydrogen citrate']"
61792-39-0,"AMMONIUM 9,10-EPOXYSTEARATE",178.34,"['AMMONIUM 3-OCTYLOXIRANEOCTANOATE', 'EPOXIDIZED OLEIC ACID, AMMONIUM SALT', 'OLEIC ACID, OXIDIZED, AMMONIUM SALT', 'OXIRANEOCTANOIC ACID, 3-OCTYL-, AMMONIUM SALT']"
977182-69-6,AMMONIUM FRUCTOHEPTONATE,176.15,[]
100897-12-9,AMMONIUM GLUCOHEPTONATE,176.15,"['D-GLUCO-HEPTONIC ACID, MONOAMMONIUM SALT, (2XI)-', 'MONOAMMONIUM D-GLUCOHEPTONATE']"
16919-19-0,AMMONIUM HEXAFLUOROSILICATE,175.105,"['AMMONIUM SILICOFLUORIDE', 'AMMONIUM FLUOSILICATE', 'DIAMMONIUM HEXAFLUOROSILICATE(2-)', 'SILICATE(2-), HEXAFLUORO-, DIAMMONIUM']"
1336-21-6,AMMONIUM HYDROXIDE,"73.85, 177.16, 184.1139, 163.110 ,  163.111 ,  163.112","['AQUA AMMONIA', 'AMMONIUM HYDROXIDE ((NH4)(OH))', 'AMMONIUM WATER']"
14798-03-9,AMMONIUM ION,,[]
2235-54-3,AMMONIUM LAURYL SULFATE,"175.105, 175.21, 176.17, 177.12","['AMMONIUM MONODODECYL SULFATE', 'AMMONIUM DODECYL SULFATE', 'DODECYL AMMONIUM SULFATE', 'PRESULIN', 'SINOPON', 'SULFONATED LOROL', 'SULFURIC ACID, MONODODECYL ESTER, AMMONIUM SALT']"
6484-52-2,AMMONIUM NITRATE,176.18,"['nitric acid, ammonium salt']"
977097-37-2,AMMONIUM OCTOXYNOL 40 MONOHYDROGEN PHOSPHATE,"175.105, 176.18",[]
977097-36-1,AMMONIUM OCTOXYNOL 6-9 MONOHYDROGEN PHOSPHATE,"175.105, 176.18",[]
7727-54-0,AMMONIUM PERSULFATE,"172.892, 175.105, 176.17, 177.12, 178.352","['DIAMMONIUM PEROXYDISULFATE', 'PEROXYDISULFURIC ACID (((HO)S(O)2)2O2), DIAMMONIUM SALT']"
