cas_rn,substance,regs,syns
147-47-7,"1,2-DIHYDRO-2,2,4-TRIMETHYLQUINOLINE--PROHIBITED",189.22,"['TRIMETHYL DIHYDROQUINOLINE', '2,2,4-TRIMETHYL-1,2-DIHYDROQUINOLINE', '2,2,4-TRIMETHYLDIHYDROQUINOLINE']"
1333-15-9,DIHYDROXYDICHLORODIPHENYLMETHANE,176.17,[]
97-23-4,"2,2'-DIHYDROXY-5,5'-DICHLOROPHENYLMETHANE (DICHLOROPHENE)",175.105,"[""2,2'-DIHYDROXY-5,5'-DICHLORODIPHENYLMETHANE"", ""2,2'-METHYLENEBIS(4-CHLOROPHENOL)"", ""5,5'-DICHLORO-2,2'-DIHYDROXYDIPHENYLMETHANE"", ""PHENOL, 2,2'-METHYLENEBIS(4-CHLORO-""]"
3720-97-6,"4,5-DIHYDROXY-2-IMIDAZOLIDINONE",175.105,"['(1,2-DIHYDROXYETHYLENE)UREA', 'DIHYDROXYETHYLENEUREA', 'DIHYDROXY ETHYLENE UREA', 'DIHYDROXY(2-IMIDAZOLIDONE)', '2-IMIDAZOLIDINONE, 4,5-DIHYDROXY-', '4,5-DIHYDROXYETHYLENEUREA']"
120-87-6,"9,10-DIHYDROXYSTEARIC ACID",178.34,"['OCTADECANOIC ACID, 9,10-DIHYDROXY-', '9,10-DIHYDROXYOCTADECANOIC ACID']"
20018-09-1,4-(DIIODOMETHYLSULFONYL)TOLUENE,"175.105, 175.3, 176.3, 177.26","['BENZENE, 1-((DIIODOMETHYL)SULFONYL)-4-METHYL-', 'DIIODOMETHYL P-TOLYL SULFONE', 'SULFONE, DIIODOMETHYL P-TOLYL', '1-(DIIODOMETHYL)SULFONYL-4-METHYLBENZENE']"
141-04-8,DIISOBUTYL ADIPATE,"175.105, 175.3, 181.27","['ADIPIC ACID, DIISOBUTYL ESTER', 'HEXANEDIOIC ACID, BIS(2-METHYLPROPYL) ESTER', 'BIS(2-METHYLPROPYL) HEXANEDIOATE', 'DIBA']"
25167-70-8,DIISOBUTYLENE,176.18,"['PENTENE, 2,4,4-TRIMETHYL-', '2,4,4-TRIMETHYLPENTENE', 'DIISOBUTENE']"
108-83-8,DIISOBUTYL KETONE,175.105,"['DIISOBUTYL KETONE', 'DIISOPROPYLACETONE, SYM-', 'ISOBUTYL KETONE', 'ISOVALERONE', '4-HEPTANONE, 2,6-DIMETHYL-']"
27178-16-1,DIISODECYL ADIPATE,"175.105, 177.26","['HEXANEDIOIC ACID, DIISODECYL ESTER', 'DIISODECYL HEXANEDIOATE', 'ADIPIC ACID, DIISODECYL ESTER']"
26761-40-0,DIISODECYL PHTHALATE,"175.105, 175.3, 177.121, 177.26, 178.391","['BIS(ISODECYL) PHTHALATE', 'DI(ISODECYL) PHTHALATE', 'ISODECYL PHTHALATE', '1,2-BENZENEDICARBOXYLIC ACID, DIISODECYL ESTER', 'DIISODECYL 1,2-BENZENEDICARBOXYLATE', 'PHTHALIC ACID, DIISODECYL ESTER']"
33703-08-1,DIISONONYL ADIPATE,178.374,"['ADIPIC ACID, DIISONONYL ESTER']"
28553-12-0,DIISONONYL PHTHALATE,178.374,"['1,2-BENZENEDICARBOXYLIC ACID, DIISONONYL ESTER', 'DIISONONYL 1,2-BENZENEDICARBOXYLATE', 'ISONONYL ALCOHOL, PHTHALATE (2:1)']"
1330-86-5,DIISOOCTYL ADIPATE,177.26,[]
27554-26-3,DIISOOCTYL PHTHALATE,181.27,"['DIOCTYL PHTHALATE (DIISOOCTYL PHTHALATE)', '1,2-BENZENEDICARBOXYLIC ACID, DIISOOCTYL ESTER', 'DIISOOCTYL 1,2-BENZENEDICARBOXYLATE', 'PHTHALIC ACID, DIISOOCTYL ESTER']"
27214-90-0,DIISOOCTYL SEBACATE,177.26,[]
977118-92-5,"N,N-DIISOPROPANOLAMIDE OF TALLOW FATTY ACIDS","176.17, 176.18, 176.21","['N,N-DIISOPROPANOLAMIDE OF TALLOW FATTY ACIDS']"
110-97-4,DIISOPROPANOLAMINE,"175.105, 176.18, 176.21","[""1,1'-IMINODI-2-PROPANOL"", ""2-PROPANOL, 1,1'-IMINOBIS-"", ""1,1'-IMINOBIS(2-PROPANOL)"", ""2-PROPANOL, 1,1'-IMINODI-"", 'BIS(2-HYDROXYPROPYL)AMINE', 'BIS(2-PROPANOL)AMINE', 'DI-2-PROPANOLAMINE', 'N,N-BIS(2-HYDROXYPROPYL)AMINE']"
10042-66-7,DIISOPROPANOLAMINE STEARATE,"176.18, 176.21","[""OCTADECANOIC ACID, COMPD. WITH 1,1'-IMINOBIS(2-PROPANOL) (1:1)"", ""STEARIC ACID, COMPD. WITH 1,1'-IMINODI-2-PROPANOL (1:1)"", ""1,1'-IMINOBIS(2-PROPANOL) OCTADECANOATE"", ""1,1'-IMINODI-2-PROPANOL STEARATE""]"
26762-93-6,DIISOPROPYLBENZENE HYDROPEROXIDE,175.105,"['BIS(1-METHYLETHYL)PHENYL HYDROPEROXIDE', 'DIISOPROPYLPHENYL HYDROPEROXIDE', 'HYDROPEROXIDE, BIS(1-METHYLETHYL)PHENYL', 'HYDROPEROXIDE, DIISOPROPYLPHENYL']"
31291-59-5,DIISOPROPYL-M-CRESOL,177.28,"['DIISOPROPYL-3-METHYLPHENOL', 'CRESOL, M-, DIISOPROPYLATED', 'PHENOL, 3-METHYLBIS(1-METHYLETHYL)-', '3-METHYLBIS(1-METHYLETHYL)PHENOL']"
61792-52-7,DIISOPROPYL-P-CRESOL,177.28,"['CRESOL, P-, DIISOPROPYLATED', 'DIISOPROPYL-P-CRESOL', 'PHENOL, 4-METHYLBIS(1-METHYLETHYL)-', '4-METHYLBIS(1-METHYLETHYL)PHENOL']"
7283-70-7,DIISOPROPYL FUMARATE,,"['2-BUTENEDIOIC ACID (E)-, BIS(1-METHYLETHYL) ESTER', 'BIS(1-METHYLETHYL) 2-BUTENEDIOATE, (E)-', 'FUMARIC ACID, DIISOPROPYL ESTER']"
10099-70-4,DIISOPROPYL MALEATE,,[]
977169-08-6,DIISOPROPYL ZANTHOGEN POLYSULFIDE,177.26,"['BIS(ISOPROPOXYTHIOCARBONYL) POLYSULFIDE', 'O,O-BIS(1-METHYLETHYL) POLYTHIOBIS(THIOFORMATE)', 'O,O-DIISOPROPYL POLYTHIOBIS(THIOFORMATE)']"
123-28-4,DILAURYL THIODIPROPIONATE,"175.3, 177.101, 181.24, 182.328","['BIS(DODECYLOXYCARBONYLETHYL) SULFIDE', ""DIDODECYL 3,3'-THIODIPROPIONATE"", ""DIDODECYL 3,3'-THIOBIS(PROPANOATE)"", 'LAURYL THIODIPROPIONATE', ""PROPANOIC ACID, 3,3'-THIOBIS-, DIDODECYL ESTER"", ""PROPIONIC ACID, 3,3'-THIODI-, DIDODECYL ESTER""]"
14614-46-1,"N,N'-DILINOLEOYLETHYLENEDIAMINE","176.18, 177.12","[""LINOLEAMIDE, N,N'-ETHYLENEBIS-"", ""N,N'-DILINOLEOYLETHYLENEDIAMINE"", ""N,N'-1,2-ETHANEDIYLBIS(9,12-OCTADECADIENAMIDE), (ALL-Z)-"", ""9,12-OCTADECADIENAMIDE, N,N'-1,2-ETHANEDIYLBIS-, (ALL-Z)-""]"
13092-66-5,DIMAGNESIUM PHOSPHATE,,"['DIHYDROGEN MAGNESIUM PHOSPHATE', 'MAGNESIUM PHOSPHATE (MG(H2PO4)2)', 'MAGNESIUM BIPHOSPHATE', 'MAGNESIUM BIS(DIHYDROGEN PHOSPHATE)', 'MAGNESIUM BIS(ORTHOPHOSPHATE)', 'MAGNESIUM DIHYDROGEN ORTHOPHOSPHATE', 'MAGNESIUM DIBASIC PHOSPHATE', 'MAGNESIUM PHOSPHATE, MONOBASIC', 'PHOSPHORIC ACID, MAGNESIUM SALT (2:1)']"
142-16-5,DI(2-ETHYLHEXYL) MALEATE,"175.105, 175.3, 176.17, 176.18","['BIS(2-ETHYLHEXYL) 2-BUTENEDIOATE, (2Z)-', 'DI(2-ETHYLHEXYL) MALEATE', 'DIETHYLHEXYL MALEATE', 'MALEIC ACID, BIS(2-ETHYLHEXYL) ESTER', '2-BUTENEDIOIC ACID (2Z)-, BIS(2-ETHYLHEXYL) ESTER']"
78638-99-0,DIMERS AND TRIMERS OF UNSATURATED C18 FATTY ACIDS,"176.2, 177.228, 178.391","['C18 FATTY ACID DIMER AND TRIMER, UNSATURATED', 'FATTY ACIDS, C18-UNSATD., DIMERS AND TRIMERS', 'FATTY ACIDS(C18), DIMERS AND TRIMERS']"
101-70-2,"4,4'-DIMETHOXYDIPHENYLAMINE",177.26,"['BENZENAMINE, 4-METHOXY-N-(4-METHOXYPHENYL)-', 'BIS(4-METHOXYPHENYL)AMINE', 'BIS(P-ANISYL)AMINE', 'BIS(P-METHOXYPHENYL)AMINE', 'DI-P-ANISYLAMINE', 'DI-P-METHOXYDIPHENYLAMINE', ""DIMETHOXYDIPHENYLAMINE, P,P'-"", ""DIPHENYLAMINE, 4,4'-DIMETHOXY-"", '4-METHOXY-N-(4-METHOXYPHENYL)BENZENAMINE']"
30105-01-2,DIMETHYL-ALPHA-METHYLSTYRENE,175.105,"['BENZENE, DIMETHYL(1-METHYLETHENYL)-', 'ALPHA,AR,AR-TRIMETHYLSTYRENE', 'DIMETHYL(1-METHYLETHENYL)BENZENE']"
124-40-3,DIMETHYLAMINE,"173.2, 176.17","['METHANAMINE, N-METHYL-', 'N-METHYLMETHANAMINE', 'N,N-DIMETHYLAMINE']"
25988-97-0,DIMETHYLAMINE-EPICHLOROHYDRIN COPOLYMER,"173.6, 176.17","['DIMETHYLAMINE-EPICHLOROHYDRIN COPOLYMER', 'DIMETHYLAMINE, POLYMER WITH 1-CHLORO-2,3-EPOXYPROPANE', 'METHANAMINE, N-METHYL-, POLYMER WITH (CHLOROMETHYL)OXIRANE', 'N-METHYLMETHANAMINE, POLYMER WITH (CHLOROMETHYL)OXIRANE', 'POLY((CHLOROMETHYL)OXIRANE-CO-N-METHYLMETHANAMINE)']"
977176-55-8,DIMETHYLAMINE-2-METHYL-1-PROPANOL,175.3,[]
2867-47-2,DIMETHYLAMINOETHYL METHACRYLATE,"177.101, 178.352","['METHACRYLIC ACID, 2-(DIMETHYLAMINO)ETHYL ESTER', 'N,N-DIMETHYLAMINOETHYL METHACRYLATE', '2-DIMETHYLAMINOETHYL METHACRYLATE', '2-(DIMETHYLAMINO)ETHYL 2-METHYL-2-PROPENOATE', '2-PROPENOIC ACID, 2-METHYL-, 2-(DIMETHYLAMINO)ETHYL ESTER', '2-(DIMETHYLAMINO)ETHYL METHACRYLATE']"
2627-98-7,N-((DIMETHYLAMINO)METHYL)-ACRYLAMIDE,176.17,"['N-(N,N-DIMETHYLAMINOMETHYL)ACRYLAMIDE', 'N-(DIMETHYLAMINOMETHYL)ACRYLAMIDE', 'N-((DIMETHYLAMINO)METHYL)-2-PROPENAMIDE']"
7005-47-2,2-DIMETHYLAMINO-2-METHYL-1-PROPANOL,175.105,"['DMAMP (DIMETHYLAMINO-2-METHYLPROPANOL)', '2-DIMETHYLAMINO-2-METHYL-1-PROPANOL', '1-PROPANOL, 2-(DIMETHYLAMINO)-2-METHYL-']"
5521-31-3,"2,2-DIMETHYLANTHRA(2,1,9-DEF:6,5,10-D'E'F')DIISOQUINOLINE-1,3,8,10(2H,9H)-TETRONE",178.3297,"[""ANTHRA(2,1,9-DEF:6,5,10-D'E'F')DIISOQUINOLINE-1,3,8,10(2H,9H)-TETRONE, 2,9-DIMETHYL-"", ""3,4,9,10-PERYLENETETRACARBOXYLIC 3,4:9,10-DIIMIDE, N,N'-DIMETHYL-"", 'PIGMENT RED 179', 'C.I. 71130', ""2,9-DIMETHYLANTHRA(2,1,9-DEF:6,5,10-D'E'F')DIISOQUINOLINE-1,3,8,10(2H,9H)-TETRONE"", ""N,N'-DIMETHYL-3,4,9,10-PERYLENETETRACARBOXYLIC 3,4:9,10-DIIMIDE""]"
1732-10-1,DIMETHYL AZELATE,177.163,"['NONANEDIOIC ACID, DIMETHYL ESTER', 'DIMETHYL NONANEDIOATE', 'AZELAIC ACID, DIMETHYL ESTER', 'DIMETHYL NONANE-1,9-DIOATE']"
121-69-7,"N,N-DIMETHYLBENZENAMINE",177.242,"['N,N-DIMETHYLBENZENAMINE', 'BENZENAMINE, N,N-DIMETHYL-', 'ANILINE, N,N-DIMETHYL-']"
94-60-0,"DIMETHYL 1,4-CYCLOHEXANEDICARBOXYLATE",175.105,"['HEXAHYDRODIMETHYL TEREPHTHALATE', '1,4-CYCLOHEXANEDICARBOXYLIC ACID, DIMETHYL ESTER']"
98-94-2,"N,N-DIMETHYLCYCLOHEXYLAMINE",177.26,"['(DIMETHYLAMINO)CYCLOHEXANE', 'CYCLOHEXANAMINE, N,N-DIMETHYL-', 'CYCLOHEXYLAMINE, N,N-DIMETHYL-', 'CYCLOHEXYLDIMETHYLAMINE', 'N,N-DIMETHYLCYCLOHEXANAMINE', 'N,N-DIMETHYLAMINOCYCLOHEXANE', 'N-CYCLOHEXYLDIMETHYLAMINE']"
149-82-6,"N,N-DIMETHYLCYCLOHEXYLAMMONIUM DIBUTYLDITHIOCARBAMATE","175.105, 177.26","['CARBAMODITHIOIC ACID, DIBUTYL-, COMPD. WITH N,N-DIMETHYLCYCLOHEXANAMINE (1:1)', 'CARBAMIC ACID, DIBUTYLDITHIO-, COMPD. WITH N,N-DIMETHYLCYCLOHEXYLAMINE', 'CARBAMIC ACID, DIBUTYLDITHIO-, COMPD. WITH N,N-DIMETHYLCYCLOHEXYLAMINE (1:1)', 'N,N-DIMETHYLCYCLOHEXYLAMINE DIBUTYLDITHIOCARBAMATE']"
135861-56-2,DIMETHYLDIBENZYLIDENE SORBITOL,178.3295,"['DIMETHYLDIBENZYLIDENE SORBITOL', 'D-GLUCITOL, 1,3:2,4-BIS-O-((3,4-DIMETHYLPHENYL)METHYLENE)-', '1,3:2,4-BIS-O-((3,4-DIMETHYLPHENYL)METHYLENE)-D-GLUCITOL']"
112-18-5,"N,N-DIMETHYLDODECYLAMINE",177.168,"['N,N-DIMETHYLDODECYLAMINE', 'DIMETHYLDODECYLAMINE', 'DIMETHYLLAURYLAMINE', 'DODECYLDIMETHYLAMINE', 'N,N-DIMETHYLAMINODODECANE', '1-DODECANAMINE, N,N-DIMETHYL-', 'DODECYLAMINE, N,N-DIMETHYL-', 'N,N-DIMETHYL-1-DODECANAMINE']"
108-01-0,DIMETHYLETHANOLAMINE,"173.2, 175.105, 175.3","['2-(DIMETHYLAMINO)ETHANOL', 'DIMETHYLETHANOLAMINE', 'N,N-DIMETHYLETHANOLAMINE', '2-DIMETHYLAMINOETHANOL', 'N,N-DIMETHYLAMINOETHANOL', 'DEANOL', 'ETHANOL, 2-(DIMETHYLAMINO)-', 'DMAE', 'DIMETHYLMONOETHANOLAMINE', 'DIMETHYL(2-HYDROXYETHYL)AMINE']"
98-54-4,"4-(1,1-DIMETHYLETHYL)PHENOL","175.3, 177.158, 177.1585, 177.241","['BUTYLPHENOL, P-TERT-', '4-(1,1-DIMETHYLETHYL)PHENOL', 'BUTYLPHEN', 'TERT-BUTYLPHENOL, P-', 'PHENOL, 4-(1,1-DIMETHYLETHYL)-', 'PHENOL, P-TERT-BUTYL-']"
68-12-2,"N,N-DIMETHYLFORMAMIDE","175.105, 176.18, 176.3, 177.185","['DIMETHYLFORMAMIDE', 'FORMAMIDE, N,N-DIMETHYL-']"
1119-40-0,DIMETHYL GLUTARATE,176.17,"['PENTANEDIOIC ACID, DIMETHYL ESTER', 'DIMETHYL PENTANEDIOATE', 'GLUTARIC ACID, DIMETHYL ESTER']"
1321-33-1,DIMETHYL HEXYNOL,175.105,"['HEXYNOL, DIMETHYL-']"
107-54-0,"3,5-DIMETHYL-1-HEXYN-3-OL","175.3, 175.32","['1-HEXYN-3-OL, 3,5-DIMETHYL-']"
1459-93-4,DIMETHYL ISOPHTHALATE,"177.159, 177.163","['DIMETHYL ISOTEREPHTHALATE', 'DIMETHYL 1,3-BENZENEDICARBOXYLATE', 'DIMETHYL M-PHTHALATE', 'ISOPHTHALIC ACID, DIMETHYL ESTER', 'METHYL 3-CARBOMETHOXYBENZOATE', '1,3-BENZENEDICARBOXYLIC ACID, DIMETHYL ESTER']"
18908-16-2,"1,2-DIMETHYL-4-(1-METHYLETHENYL)BENZENE",175.105,"['ALPHA,3,4-TRIMETHYLSTYRENE', 'BENZENE, 1,2-DIMETHYL-4-(1-METHYLETHENYL)-', 'STYRENE, ALPHA,3,4-TRIMETHYL-', '1,2-DIMETHYL-4-(1-METHYLETHENYL)BENZENE']"
68037-59-2,"DIMETHYL, METHYL HYDROGEN POLYSILOXANE","175.3, 175.32, 176.17","['DIMETHYL, METHYL HYDROGEN, TRIMETHYLSILYL-TERMINATED SILOXANES AND SILICONES', 'SILOXANES AND SILICONES, DI-ME, ME HYDROGEN', 'SILOXANES AND SILICONES, DIMETHYL, METHYL HYDROGEN']"
1320-95-2,"2,6-DIMETHYLMORPHOLINE THIOBENZOTHIAZOLE",177.26,"['BENZOTHIAZOLETHIOL, COMPD. WITH 2,6-DIMETHYLMORPHOLINE (1:1)', '2,6-DIMETHYLMORPHOLINE BENZOTHIAZOLETHIOL']"
840-65-3,"2,6-DIMETHYLNAPHTHALENE DICARBOXYLATE","175.3, 177.1637","['DIMETHYL 2,6-NAPHTHALATE', '2,6-NAPHTHALENEDICARBOXYLIC ACID, DIMETHYL ESTER']"
7378-99-6,"N,N-DIMETHYLOCTANAMINE",178.101,"['N,N-DIMETHYLOCTYLAMINE', 'N,N-DIMETHYL-1-OCTANAMINE', '1-OCTANAMINE, N,N-DIMETHYL-', 'OCTYLAMINE, N,N-DIMETHYL-', 'N,N-DIMETHYLOCTANAMINE']"
1321-87-5,DIMETHYL OCTYNEDIOL,175.105,"['DIMETHYLOCTYNEDIOL', 'OCTYNEDIOL, DIMETHYL-']"
136-84-5,DIMETHYLOL ETHYLENE UREA,178.352,"['DIMETHYLOLETHYLENEUREA', '1,3-DIMETHYLOL-2-IMIDAZOLIDINONE', '1,3-BIS(HYDROXYMETHYL)-2-IMIDAZOLIDINONE', '2-IMIDAZOLIDINONE, 1,3-BIS(HYDROXYMETHYL)_', '1,3-BIS(HYDROXYMETHYL)-2-IMIDAZOLIDONE', '1,3-DIHYDROXYMETHYL-2-IMIDAZOLIDONE']"
29299-92-1,DIMETHYLOL PHENOL,,"['BENZENEDIMETHANOL, AR-HYDROXY-', 'HYDROXYBENZENEDIMETHANOL, AR-', ""XYLENE-ALPHA,ALPHA',AR-TRIOL""]"
4767-03-7,DIMETHYLOLPROPIONIC ACID,"175.105, 176.17, 178.3725","['ALPHA,ALPHA-BIS(HYDROXYMETHYL)PROPIONIC ACID', 'ALPHA,ALPHA-DIMETHYLOLPROPIONIC ACID', 'PROPANOIC ACID, 3-HYDROXY-2-(HYDROXYMETHYL)-2-METHYL-', 'PROPIONIC ACID, 2,2-BIS(HYDROXYMETHYL)-', '2,2-BIS(HYDROXYMETHYL)PROPIONIC ACID', '3-HYDROXY-2-(HYDROXYMETHYL)-2-METHYLPROPANOIC ACID', '2,2-BIS(HYDROXYMETHYL)PROPANOIC ACID', '2,2-BIS(METHYLOL)PROPIONIC ACID', '2,2-DIMETHYLOLPROPIONIC ACID']"
134701-20-5,"2,4-DIMETHYL-6-(1-METHYLPENTADECYL)PHENOL",178.201,"['PHENOL, 2,4-DIMETHYL-6-(1-METHYLPENTADECYL)-']"
25134-01-4,"2,6-DIMETHYLPHENOL HOMOPOLYMER",,[]
5280-80-8,"3,3'-((2,5-DIMETHYL-1,4-PHENYLENE)BIS(IMINO(1-ACETYL-2-OXO-2,1-ETHANEDIYL)AZO))BIS(4-CHLORO-N-(5-CHLORO-2-METHYLPHENYL)BENZAMIDE)",178.3297,"[""BENZAMIDE, 3,3'-((2,5-DIMETHYL-1,4-PHENYLENE)BIS(IMINO(1-ACETYL-2-OXO-2,1-ETHANEDIYL)AZO))BIS(4-CHLORO-N-(5-CHLORO-2-METHYLPHENYL)-"", 'CROMOPHTAL YELLOW GR', 'PIGMENT YELLOW 95', ""O-BENZOTOLUIDIDE, 3,3''-((2,5-DIMETHYL-P-PHENYLENE)BIS(IMINOCARBONYLACETONYLIDENEAZO))BIS(4,5'-DICHLORO-"", ""3,3'-((2,5-DIMETHYL-1,4-PHENYLENE)BIS(IMINO(1-ACETYL-2-OXO-2,1-ETHANEDIYL)AZO))BIS(4-CHLORO-N-(5-CHLORO-2-METHYLPHENYL)BENZAMIDE)"", ""3,3''-((2,5-DIMETHYL-P-PHENYLENE)BIS(IMINOCARBONYLACETONYLIDENEAZO))BIS(4,5'-DICHLORO-O-BENZOTOLUIDIDE)""]"
9016-00-6,DIMETHYLPOLYSILOXANE,"173.34, 175.105, 175.3, 176.17, 176.18, 176.2, 176.21, 177.12, 177.226, 177.28, 178.357, 178.391, 181.28, 145.180 ,  146.185","['POLYDIMETHYLSILOXANE', 'POLY(METHYLSILOXANE)', 'DIMETHYL POLYSILOXANE, DIMETHYL-TERMINATED', 'DIMETHYL POLYSILOXANE, BIS(TRIMETHYLSILYL)-TERMINATED', 'SILICON RESIN', 'DIMETHYL POLYSILOXANE', 'POLY(OXY(DIMETHYLSILYLENE))', 'DIMETHYL SILOXANES AND SILICONES', 'DIMETHYL SILICONE']"
977161-67-3,"DIMETHYLPOLYSILOXANE-BETA-PHENYLETHYL METHYL POLYSILOXANE COPOLYMER(2:1), 200 TO 400 CENTISTOKES VISCOSITY",176.17,"['DIMETHYLPOLYSILOXANE-BETA-PHENYLETHYL METHYL POLYSILOXANE COPOLYMER', 'METHYL PHENETHYL POLYSILOXANE-DIMETHYLPOLYSILOXANE COPOLYMER', 'POLYDIMETHYLSILOXANE-POLYMETHYLPHENETHYLSILOXANE COPOLYMER']"
109-55-7,"N,N-DIMETHYL-1,3-PROPANEDIAMINE",176.17,"['N,N-DIMETHYL-1,3-PROPANEDIAMINE', 'N,N-DIMETHYLPROPYLENEDIAMINE', '3-(DIMETHYLAMINO)PROPYLAMINE', '1,3-PROPANEDIAMINE, N,N-DIMETHYL-']"
4196-89-8,"2,2-DIMETHYL-1,3-PROPANEDIOL DIBENZOATE",175.105,"['2,2-DIMETHYL-1,3-PROPANEDIYL DIBENZOATE', '1,3-PROPANEDIOL, 2,2-DIMETHYL-, DIBENZOATE', '2,2-DIMETHYLTRIMETHYLENE BENZOATE']"
583-61-9,"2,3-DIMETHYLPYRIDINE",177.152,"['2,3-DIMETHYLPYRIDINE', 'PYRIDINE, 2,3-DIMETHYL-']"
108-47-4,"2,4-DIMETHYLPYRIDINE",177.152,"['2,4-DIMETHYLPYRIDINE', 'ALPHA,GAMMA-LUTIDINE', 'PYRIDINE, 2,4-DIMETHYL-', 'alpha,gamma-dimethylpyridine']"
583-58-4,"3,4-DIMETHYLPYRIDINE",177.152,"['3,4-DIMETHYLPYRIDINE']"
591-22-0,"3,5-DIMETHYLPYRIDINE",177.152,"['3,5-DIMETHYLPYRIDINE']"
106-79-6,DIMETHYL SEBACATE,177.163,"['DECANEDIOIC ACID, DIMETHYL ESTER', 'DIMETHYL DECANEDIOATE', 'SEBACIC ACID, DIMETHYLO ESTER', 'DIMETHYL DECANE-1,10-DIOATE', 'DIMETHYL OCTANE-1,8-DICARBOXYLATE']"
65447-77-0,"DIMETHYL SUCCINATE POLYMER WITH 4-HYDROXY-2,2,6,6-TETRAMETHYL-1-PIPERIDINEETHANOL",178.201,"['BUTANEDIOIC ACID, DIMETHYL ESTER, POLYMER WITH 4-HYDROXY-2,2,6,6-TETRAMETHYL-1-PIPERIDINEETHANOL', 'DIMETHYL SUCCINATE-4-HYDROXY-2,2,6,6-TETRAMETHYL-1-PIPERIDINEETHANOL COPOLYMER', 'POLY(4-HYDROXY-2,2,6,6-TETRAMETHYL-1-PIPERIDINEETHANOL-CO-DIMETHYL BUTANEDIOATE)', 'butanedioic acid, 1,4-dimethyl ester, polymer with 4-hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol', '1-piperidineethanol, 4-hydroxy-2,2,6,6-tetramethyl-, polymer with dimethyl butanedioate']"
77-78-1,DIMETHYL SULFATE,175.105,"['METHYL SULFATE (DIMETHYL SULFATE)', 'SULFURIC ACID, DIMETHYL ESTER']"
50975-82-1,"1,3-DIMETHYL SULFOISOPHTHALATE",175.105,"['DIMETHYL SULFOISOPHTHALATE', '1,3-BENZENEDICARBOXYLIC ACID, SULFO-, 1,3-DIMETHYL ESTER', '1,3-DIMETHYL SULFO-1,3-BENZENEDICARBOXYLATE']"
138-25-0,"1,3-DIMETHYL 5-SULFOISOPHTHALATE",175.105,"['DIMETHYL 5-SULFOISOPHTHALATE', 'ISOPHTHALIC ACID, 5-SULFO-, 1,3-DIMETHYL ESTER', '1,3-BENZENEDICARBOXYLIC ACID, 5-SULFO-, 1,3-DIMETHYL ESTER', '1,3-DIMETHYL 5-SULFO-1,3-BENZENEDICARBOXYLATE']"
67-68-5,DIMETHYL SULFOXIDE,"172.859, 177.1655, 177.244","['DMSO', 'METHYL SULFOXIDE', 'SULFINYLBIS(METHANE)', 'METHANE, SULFINYLBIS-', 'METHYLSULFINYLMETHANE']"
120-61-6,DIMETHYL TEREPHTHALATE,"177.12, 177.15, 177.159, 177.163, 177.166, 177.26","['DIMETHYL P-PHTHALATE', 'DIMETHYL 1,4-BENZENEDICARBOXYLATE', 'TEREPHTHALIC ACID, DIMETHYL ESTER', '1,4-BENZENEDICARBOXYLIC ACID, DIMETHYL ESTER']"
533-74-4,"3,5-DIMETHYL-1,3,5,2H-TETRAHYDROTHIADIAZINE-2-THIONE","175.105, 176.18, 176.23, 176.3, 178.312","['TETRAHYDRO-3,5-DIMETHYL-2H-1,3,5-THIADIAZINE-2-THIONE', 'TIAZON', '3,5-DIMETHYLTETRAHYDRO-1,3,5-THIADIAZINE-2-THIONE', 'DIMETHYLFORMOCARBOTHIALDINE', '3,5-DIMETHYL-1,3,5,2H-TETRAHYDROTHIADIAZINE-2-THIONE', '2H-1,3,5-THIADIAZINE-2-THIONE, TETRAHYDRO-3,5-DIMETHYL-']"
57583-35-4,DIMETHYLTIN BIS(2-ETHYLHEXYL MERCAPTOACETATE),178.201,"['DIMETHYLTIN BIS(2-ETHYLHEXYL MERCAPTOACETATE)', '2-ETHYLHEXYL 10-ETHYL-4,4-DIMETHYL-7-OXO-8-OXA-3,5-DITHIA-4-STANNATETRADECANOATE', '8-OXA-3,5-DITHIA-4-STANNATETRADECANOIC ACID, 10-ETHYL-4,4-DIMETHYL-7-OXO-, 2-ETHYLHEXYL ESTER']"
26636-01-1,DIMETHYLTIN BIS (ISOOCTYLMERCAPTOACETATE),178.201,"[""ACETIC ACID, 2,2'-((DIMETHYLSTANNYLENE)BIS(THIO))BIS-, DIISOOCTYL ESTER"", 'DIMETHYLTIN BIS(ISOOCTYL MERCAPTOACETATE)', ""DIISOOCTYL 2,2'-((DIMETHYLSTANNYLENE)BIS(THIO))BIS(ACETATE))""]"
68083-18-1,"DIMETHYLVINYLSILOXY-TERMINATED DIMETHYL, METHYL VINYL SILOXANES","175.32, 176.17","['DIMETHYL, METHYL VINYL, VINYL-TERMINATED SILOXANES AND SILICONES', 'SILOXANES AND SILICONES, DI-ME, ME VINYL, VINYL GROUP-TERMINATED']"
68083-19-2,DIMETHYLVINYLSILOXY-TERMINATED DIMETHYL SILOXANES,"175.32, 176.17","['DIMETHYL, VINYL-TERMINATED SILOXANES AND SILICONES', 'SILOXANES AND SILICONES, DIMETHYL, VINYL GROUP TERMINATED', 'SILOXANES AND SILICONES, DI-ME, VINYL GROUP-TERMINATED']"
